topic,question
Computer Networks,"In the following pairs of OSI protocol layer/sub-layer and its functionality, the INCORRECT pair is"
Computer Networks,"An IP machine Q has a path to another IP machine H via three IP routers R1, R2, and R3. Q---R1---R2---R3---H H acts as an HTTP server, and Q connects to H via HTTP and downloads a file. Session layer encryption is used, with DES as the shared key encryption protocol. Consider the following four pieces of information: [I1] The URL of the file downloaded by Q [I2] The TCP port numbers at Q and H [I3] The IP addresses of Q and H [I4] The link layer addresses of Q and H. Which of I1, I2, I3, and I4 can an intruder learn through sniffing at R2 alone?"
Computer Networks,"To send same bit sequence, NRZ encoding require"
Computer Networks,"If there are n devices (nodes) in a network, what is the number of cable links required for a fully connected mesh and a star topology respectively"
Computer Networks,In networking terminology UTP means
Computer Networks,Physical topology of FDDI is?
Computer Networks,Bit stuffing refers to
Computer Networks,How many characters per sec (7 bits + 1 parity) can be transmitted over a 2400 bps line if the transfer is synchronous ( 1 start and 1 stop bit)?
Computer Networks,"What frequency range is used for microwave communications, satellite and radar?"
Computer Networks,A T-switch is used to
Computer Networks,"Consider a 50 kbps satellite channel with a 500 milliseconds round trip propagation delay. If the sender wants to transmit 1000 bit frames, how much time will it take for the receiver to receive the frame?"
Computer Networks,"In the Ethernet, which field is actually added at the physical layer and is not part of the frame."
Computer Networks,The voltage ranges for a logic high and a logic low in RS-232 C standard is
Computer Networks,IEEE 1394 is related to
Computer Networks,What is the maximum number of characters (7 bits + parity) that can be transmitted in a second on a 19.2 Kbps line. This asynchronous transmission requires 1 start bit and 1 stop bit.
Computer Networks,One SAN switch has 24 ports. All 24 supports 8 Gbps Fiber Channel technology. What is the aggregate bandwidth of that SAN switch?
Computer Networks,Data is transmitted continuously at 2.048 Mbps rate for 10 hours and received 512 bits errors. What is the bit error rate?
Computer Networks,"What is the bit rate of a video terminal unit with 80 characters/line, 8 bits/character and horizontal sweep time of 100μs (including 20μs of retrace time)?"
Computer Networks,The encoding technique used to transmit the signal in giga ethernet technology over fiber optic medium is
Computer Networks,"Assume that each character code consists of 8 bits. The number of characters that can be transmitted per second through an asynchronous serial line at 2400 baud rate, and with two stop bits is"
Computer Networks,What is the bandwidth of the signal that ranges from 40 kHz to 4 MHz?
Computer Networks,How many bytes of data can be sent in 15 seconds over a serial link with baud rate of 9600 in asynchronous mode with odd parity and two stop bits in the frame?
Computer Networks,By using an eight bit optical encoder the degree of resolution that can be obtained is (approximately)
Computer Networks,"Assume that each character code consists of 8 bits. The number of characters that can be transmitted per second through a synchronous serial line at 2400 baud rate, and with two stop bits is"
Computer Networks,"If the bandwidth of a signal is 5 kHz and the lowest frequency is 52 kHz, what is the highest frequency"
Computer Networks,Phase transition for each bit are used in
Computer Networks,Bit stuffing refers to
Computer Networks,"How many 8-bit characters can be transmitted per second over a 9600 baud serial communication link using asynchronous mode of transmission with one start bit, eight data bits, two stop bits, and one parity bit?"
Computer Networks,"A serial transmission T1 uses 8 information bits, 2 start bits, 1 stop bit and 1 parity bit for each character. A synchronous transmission T2 uses 3 eight-bit sync characters followed by 30 eight-bit information characters. If the bit rate is 1200 bits/second in both cases, what are the transfer rates of T1 and T2?"
Computer Networks,"In Ethernet when Manchester encoding is used, the bit rate is:"
Computer Networks,"In the waveform (a) given below, a bit stream is encoded by Manchester encoding scheme. The same bit stream is encoded in a different coding scheme in wave form (b). The bit stream and the coding scheme are"
Computer Networks,"Let us consider a statistical time division multiplexing of packets. The number of sources is 10. In a time unit, a source transmits a packet of 1000 bits. The number of sources sending data for the first 20 time units is 6, 9, 3, 7, 2, 2, 2, 3, 4, 6, 1, 10, 7, 5, 8, 3, 6, 2, 9, 5 respectively. The output capacity of multiplexer is 5000 bits per time unit. Then the average number of backlogged of packets per time unit during the given period is"
Computer Networks,"Assume that each character code consists of 8 bits. The number of characters that can be transmitted per second through an asynchronous serial line at 2400 baud rate, and with two stop bits is"
Computer Networks,Purpose of a start bit in RS-232 serial communication protocol is:
Computer Networks,"In serial communication employing 8 data bits, a parity bit and 2 stop bits, the minimum band rate required to sustain a transfer rate of 300 characters per second is"
Computer Networks,"In serial data transmission, every byte of data is padded with a '0' in the beginning and one or two '1's at the end of byte because"
Computer Networks,"Consider an Ethernet segment with a transmission speed of 108 bits/sec and a maximum segment length of 500 meters. If the speed of propagation of the signal in the medium is 2×108 meters/sec, then the minimum frame size (in bits) required for collision detection is _________"
Computer Networks,"Suppose two hosts are connected by a point-to-point link and they are configured to use Stop-and-Wait protocol for reliable data transfer. Identify in which one of the following scenarios, the utilization of the link is the lowest."
Computer Networks,"Consider a 100 Mbps link between an earth station (sender) and a satellite (receiver) at an altitude of 2100 km. The signal propagates at a speed of 3×108 m/s. The time taken (in milliseconds, rounded off to two decimal places) for the receiver to completely receive a packet of 1000 bytes transmitted by the sender is"
Computer Networks,"Consider a network using the pure ALOHA medium access control protocol, where each frame is of length 1,000 bits. The channel transmission rate is 1 Mbps (=106 bits per second). The aggregate number of transmissions across all the nodes (including new frame transmissions and retransmitted frames due to collisions) is modelled as a Poisson process with a rate of 1,000 frames per second. Throughput is defined as the average number of frames successfully transmitted per second. The throughput of the network (rounded to the nearest integer) is ______________"
Computer Networks,Consider the cyclic redundancy check (CRC) based error detecting scheme having the generator polynomial X3+X+1. Suppose the message m4​m3​m2​m1​m0​=11000 is to be transmitted. Check bits c2​c1​c0​ are appended at the end of the message by the transmitter using the above CRC scheme. The transmitted bit string is denoted by m4​m3​m2​m1​m0​c2​c1​c0​. The value of the checkbit sequence c2​c1​c0​ is
Computer Networks,Consider the following two statements.S1: Destination MAC address of an ARP reply is a broadcast address. S2: Destination MAC address of an ARP request is a broadcast address. Which one of the following choices is correct?
Computer Networks,Consider that 15 machines need to be connected in a LAN using 8-port Ethernet switches. Assume that these switches do not have any separate up link ports. The minimum number of switches needed is ___________.
Computer Networks,"Suppose that in an IP-over-Ethernet network, a machine X wishes to find the MAC address of another machine Y in its subnet. Which one of the following techniques can be used for this?"
Computer Networks,StationA uses 32 byte packets to transmit messages to Station B using a sliding window protocol. The round trip delay between A and B is 80 ms and the bottleneck bandwidth on the path between A and B is 128 kbps. What is the optimal window size that A should use?
Computer Networks,________ can detect burst error of length less than or equal to degree of the polynomial and detects burst errors that affect odd number of bits.
Computer Networks,"Consider a simple communication system where multiple nodes are connected by a shared broadcast medium (like Ethernet or wireless). The nodes in the system use the following carrier-sense based medium access protocol. A node that receives a packet to transmit will carrier-sense the medium for 5 units of time. If the node does not detect any other transmission in this duration, it starts transmitting its packet in the next time unit. If the node detects another transmission, it waits until this other transmission finishes, and then begins to carrier-sense for 5 time units again. Once they start to transmit, nodes do not perform any collision detection and continue transmission even if a collision occurs. All transmissions last for 20 units of time. Assume that the transmission signal travels at the speed of 10 meters per unit time in the medium. Assume that the system has two nodes P and Q, located at a distance d meters from each other. P starts transmitting a packet at time t=0 after successfully completing its carrier-sense phase. Node Q has a packet to transmit at time t=0 and begins to carrier-sense the medium. The maximum distance d (in meters, rounded to the closest integer) that allows Q to successfully avoid a collision between its proposed transmission and P's ongoing transmission is _____."
Computer Networks,An Ethernet frame that is less than the IEEE 802.3 minimum length of 64 octets is called
Computer Networks,Which media access control protocol is used by IEEE 802.11 wireless LAN?
Computer Networks,"Consider a binary code that consists of only four valid code words as given below: 00000,01011,10101,11110 Let the minimum Hamming distance of the code be p and the maximum number of erroneous bits that can be corrected by the code be q. Then the values of p and q are"
